Departure_Regex,Arrival_Regex,Route,RNAV Required,Notes
TPA,MYGF,"CROWD JAKEL BR62V ZFP",TRUE,"TP/P AOB 230"
TPA,MBPV,"CROWD# HALLR PBI BR54V MAJUR BR54V ZQA A555 MICAS",TRUE,"TJ"
TPA,TNCM,"CROWD# CROWD TRV BR62V ZFP RENAH Y355 SLUGO ULUBA1",TRUE,"TJ"
TPA,TJSJ,"GANDY# SABEE FEMID Y290 BEANO",TRUE,"TJ"
PBI,MCO|ORL|SFB|ISM|LEE,"TBIRD# CHEFS RIDES#",TRUE,"TJ AOB 190"
PBI,MCO|ORL|SFB|ISM|LEE,"CLEFF CHEFS MATLK SLOAO#",TRUE,"TP AOB 190"
PBI,MCO|ORL|SFB|ISM|LEE,"CLEFF T347 BAIRN",TRUE,"P AOB 90"
PBI,MLB|COF|COI|TIX|TTS|XMR,"CLEFF T208 VALKA",TRUE,"TJ/TP AOB 50"
PBI,MLB|COF|COI|TIX|TTS|XMR,"CLEFF T208 VALKA",TRUE,"P AOB 30"
PBI,TPA|PIE|MCF|SPG,"OLAKE# JAYMC BLFRG#",TRUE,"TJ AOB 200"
PBI,TPA|PIE|MCF|SPG,"WELLY COREA BLFRG#",TRUE,"TP/P AOB 200"
PBI,SRQ|VNC,"OLAKE# JAYMC TUBBA CURSD",TRUE,"TJ AOB 180"
PBI,SRQ|VNC,"WELLY LBELL CAYOO",TRUE,"TP/P AOB 180"
PBI,LAL|BOW|BKV,"OLAKE# JAYMC CROWD",TRUE,"TJ AOB 180"
PBI,LAL|BOW|BKV,"WELLY CROWD",TRUE,"TP/P AOB 180"
PBI,MIA|TMB,"SPNER VKZ",TRUE,"TJ/TP AOB 90"
PBI,MIA|TMB,"MARKT",TRUE,"P AOB 30"
PBI,FLL|HWO|OPF,"SPNER VKZ",TRUE,"TJ/TP AOB 70"
PBI,FLL|HWO|OPF,"MARKT",TRUE,"P AOB 30"
PBI,FXE|PMP,"SPNER VKZ",TRUE,"ALL AOB 40"
PBI,EYW|NQX,"WELLY# WELLY SWAGS KRAKN KRAKN# (EYW only)",TRUE,"TJ AOB 200"
PBI,EYW|NQX,"WELLY SWAGS GIGIH",TRUE,"TP/P AOB 200"
PBI,RSW|PGD|APF|FMY,"WELLY# WELLY BNGOS RSW",TRUE,"TJ AOB 180"
PBI,RSW|PGD|APF|FMY,"WELLY BNGOS RSW",TRUE,"TP/P AOB 120"
PBI,BCT,"ANNEY",TRUE,"ALL AOB 30"
PBI,SUA|06FA,"PYRUT MORGA",TRUE,"ALL AOB 30"
PBI,VRB|FPR,"SMUGS",TRUE,"ALL AOB 40"
PBI,JAX|CRG|NIP|NRB,"TBIRD# MATLK ORL HAINY QUBEN# (JAX only)",TRUE,"TJ AOB 270"
PBI,JAX|CRG|NIP|NRB,"TBIRD ORL POGIE#",TRUE,"TJ/TP AOB 270"
PBI,JAX|CRG|NIP|NRB,"DURRY T208 FOXAM SEBAG",TRUE,"P AOB 90"
PBI,DAB|OMN|DED|EVB|FIN,"TBIRD# CHEFS DIMBY T208 SMYRA",TRUE,"TJ AOB 150"
PBI,DAB|OMN|DED|EVB|FIN,"TBIRD VALKA T208 SMYRA",TRUE,"TP/P AOB 150"
PBI,MUHA,"WELLY# WELLY SWAGS LULLS CANOA ENTRY4",TRUE,"TJ"
PBI,MYNN,"MIXAE# HALBI HANKX ZQA",TRUE,"TJ AOB 230"
PBI,MYNN,"TURPS BR63V HANKX ZQA",TRUE,"TP/P AOB 170"
PBI,MYGF,"MIXAE# HALBI",TRUE,"TJ AOB 70"
PBI,MYGF,"TURPS BR63V ZFP",TRUE,"TP/P AOB 70"
PBI,MBPV,"MIXAE# HALBI SUMAC SOLEI",TRUE,"TJ"
PBI,TNCM,"MIXAE# HALBI ZFP HAGIT Y290 SLUGO",TRUE,"TJ"
PBI,TJSJ,"MIXAE# HALBI ZFP HAGIT Y290 BEANO",TRUE,"TJ"
PBI,MDSD,"MIXAE# HALBI ZFP RUMFO Y441 JUELE UW38 PTA KODIX KODIX2H",TRUE,"TJ"
PBI,MDPC,"MIXAE# HALBI ZFP RUMFO Y441 JUELE UL463 PTA W28 PNA",TRUE,"TJ"
RSW,MIA|TMB,"AABER FROGZ FROGZ#",TRUE,"TJ AOB 130"
RSW,MIA|TMB,"AABER COOFS PALMZ#",TRUE,"TP/P AOB 90"
RSW,FLL|FXE|PMP|HWO,"AABER TEEKY TEEKY#",TRUE,"TJ AOB 90"
RSW,FLL|FXE|PMP|HWO,"AABER BANTY FORTL#",TRUE,"TP/P AOB 70"
RSW,OPF,"AABER CUURT CUURT#",TRUE,"TJ AOB 90"
RSW,OPF,"AABER COOFS PALMZ#",TRUE,"TP/P AOB 90"
RSW,MCO|ORL|SFB|ISM|LEE,"CSHEL# CSHEL JOKRS#",TRUE,"TJ AOB 130"
RSW,MCO|ORL|SFB|ISM|LEE,"ROGAN MOANS JOKRS#",TRUE,"TP AOB 130"
RSW,MCO|ORL|SFB|ISM|LEE,"ROGAN DOWNN MINEE#",TRUE,"P AOB 90"
RSW,MLB|COF|COI|TIX|TTS|XMR,"CSHEL# CSHEL JOKRS#",TRUE,"TJ AOB 130"
RSW,MLB|COF|COI|TIX|TTS|XMR,"DIDDY WIXED T208 VALKA",TRUE,"TP/P AOB 90"
RSW,TPA|PIE|MCF|SPG,"CSHEL# CSHEL BLFRG BLFRG#",TRUE,"TJ AOB 120"
RSW,TPA|PIE|MCF|SPG,"CHARO V35 PIE",TRUE,"TP/P AOB 100"
RSW,SRQ|VNC,"CHARO",TRUE,"ALL AOB 80"
RSW,LAL|BOW|BKV,"CSHEL# CSHEL CROWD",TRUE,"TJ AOB 80"
RSW,LAL|BOW|BKV,"ROGAN",TRUE,"TP/P AOB 60"
RSW,EYW|NQX,"GOODY KARTR",TRUE,"TJ AOB 130"
RSW,PBI|BCT|06FA,"LUCYS VUUDU#",TRUE,"TJ AOB 150"
RSW,PBI|BCT|06FA,"RACNO TTYLR#",TRUE,"TP/P AOB 90"
RSW,SUA,"LUCYS VUUDU#",TRUE,"TJ AOB 90"
RSW,SUA,"DYLYN RELLI AIRBT",TRUE,"TP/P AOB 70"
RSW,VRB|FPR,"DYLYN RALPH HHUGH",TRUE,"ALL AOB 70"
RSW,RSW|PGD|APF|FMY,"Radar vectors",TRUE,"ALL AOB 30"
RSW,JAX|CRG|NIP|NRB,"CSHEL# CSHEL LAL JINOS TEBOW",TRUE,"TJ AOB 250"
RSW,JAX|CRG|NIP|NRB,"ROGAN LAL JINOS TEBOW",TRUE,"TP/P AOB 110"
RSW,DAB|OMN|DED|EVB|FIN,"CSHEL FEBRO T353 GUANO",TRUE,"ALL AOB 160"
RSW,MUHA,"GOODY KARTR EYW CANOA ENTRY4",TRUE,"TJ AOB 240"
RSW,MYNN,"AABER SAXXN ELQUE RAJAY",TRUE,"TJ AOB 230"
RSW,MYNN,"AABER DVALL MNATE SANNS",TRUE,"TP/P AOB 110"
RSW,MYGF,"DYLYN PBI BR63V ZFP",TRUE,"ALL AOB 170"
RSW,MBPV,"FEMID Y290 BITAC Y396 RUMFO SOLEI",TRUE,"TJ"
RSW,TNCM,"FEMID Y290 HAGIT Y290 SLUGO ULUBA1",TRUE,"TJ"
RSW,TJSJ,"FEMID Y290 BEANO",TRUE,"TJ"
RSW,MDSD,"FEMID Y290 BITAC Y396 RUMFO Y441 JUELE UW38 PTA KODIX KODIX2H",TRUE,"TJ"
RSW,MDPC,"FEMID Y290 BITAC Y396 RUMFO Y441 JUELE FIDEL KOBET PIXAR UW10 PNA",TRUE,"TJ"
EYW,MIA|TMB,"BUFTT# BUFTT PYREX SNDBR#",TRUE,"TJ AOB 190"
EYW,MIA|TMB,"CARNU DVALL#",TRUE,"TP/P AOB 150"
EYW,FLL|OPF|FXE|PMP|HWO,"BUFTT# BUFTT PYREX BHHIA#",TRUE,"TJ AOB 170"
EYW,FLL|OPF|FXE|PMP|HWO,"CARNU DVALL#",TRUE,"TP/P AOB 150"
EYW,MCO|ORL|SFB|ISM|LEE,"BUFTT# GUFFS FERAL JOKRS#",TRUE,"TJ AOB 210"
EYW,MCO|ORL|SFB|ISM|LEE,"CARNU RSW MINEE#",TRUE,"TP/P AOB 210"
EYW,MLB|COF|COI|TIX|TTS|XMR,"CARNU RSW MINEE#",TRUE,"ALL AOB 210"
EYW,TPA|PIE|MCF|SPG,"BUFTT# GUFFS FERAL BLFRG#",TRUE,"TJ AOB 200"
EYW,TPA|PIE|MCF|SPG,"CARNU FERAL BLFRG#",TRUE,"TP/P AOB 160"
EYW,SRQ|VNC,"CARNU RSW V7 ROGAN",TRUE,"TJ/TP AOB 180"
EYW,SRQ|VNC,"CARNU RSW V35 MURDO",TRUE,"P AOB 100"
EYW,LAL|BOW|BKV,"CARNU ROGAN CROWD",TRUE,"ALL AOB 180"
EYW,PBI|BCT|SUA 06FA,"BUFTT# BUFTT SWAGS VUUDU#",TRUE,"TJ AOB 190"
EYW,PBI|BCT|SUA 06FA,"CARNU SWAGS TTYLR TTYLR#",TRUE,"TP/P AOB 170"
EYW,VRB|FPR,"BUFTT# BUFTT SWAGS TTYLR HHUGH",TRUE,"TJ AOB 190"
EYW,VRB|FPR,"CARNU SWAGS TTYLR RALPH",TRUE,"TP/P AOB 150"
EYW,RSW|PGD|APF|FMY,"CARNU KARTR V539 GOODY",TRUE,"ALL AOB 140"
EYW,EYW|NQX,"EYW (radar vectors)",TRUE,"ALL AOB 20"
EYW,JAX|CRG|NIP|NRB,"BUFFT# JAYMC ORL HAINY QUBEN# (JAX only)",TRUE,"TJ"
EYW,JAX|CRG|NIP|NRB,"CARNU RVERO ORL POGIE#",TRUE,"TP/P"
EYW,DAB|OMN|DED|EVB|FIN," BUFTT# JAYMC MOANS T353 GUANO",TRUE,"TJ AOB 290"
EYW,DAB|OMN|DED|EVB|FIN," CARNU SWAGS TTYLR VALKA T208 SMYRA",TRUE,"TP/P AOB 170"
EYW,MUHA,"MAXIM ENTRY",TRUE,"ALL AOB 160"
EYW,MYNN,"CARNU MTH MAYNR SANNS",TRUE,"ALL AOB 210"
EYW,MYGF,"CARNU MTH MAYNR FOWEE ZBV BR69V MAYKO",TRUE,"ALL AOB 190"
EYW,MBPV,"CARNU MTH MADIZ RUMFO SOLEI",TRUE,"TJ"
